radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
UMTS;218;5;53;2010434;103;19.3143;44.8683;20772;25;1;1513518709;1729352056;0
GSM;218;5;1;14091;-1;19.1423;44.4093;1721;17;1;1549152003;1719433749;0
GSM;218;5;1;14092;-1;19.1353;44.4065;1000;13;1;1549152004;1719433749;0
GSM;218;3;30;1299;-1;18.3146;45.1074;1044;28;1;1551407044;1722207182;0
UMTS;218;5;51;2682751;151;18.4211;43.8588;1000;9;1;1555239028;1719651368;0
UMTS;218;5;51;2681773;61;18.4229;43.8601;1000;2;1;1555240783;1719651368;0
UMTS;218;5;51;2686943;350;18.4099;43.8582;1000;12;1;1555240972;1719651368;0
UMTS;218;5;51;2679091;75;18.4024;43.8502;1000;22;1;1555257641;1719433764;0
UMTS;218;5;51;2667688;501;18.4354;43.859;1724;16;1;1555270504;1719651374;0
UMTS;218;5;51;2630131;395;18.4208;43.856;1000;12;1;1555271228;1719651365;0
GSM;218;5;2;6322;-1;18.4186;43.855;1000;3;1;1555333351;1719651373;0
UMTS;218;5;51;2666905;203;18.4364;43.8615;1000;30;1;1555335538;1719651372;0
UMTS;218;5;51;2666901;203;18.4345;43.8604;1000;13;1;1555336601;1719651370;0
UMTS;218;5;51;2663486;124;18.431;43.8593;1000;5;1;1555339186;1719651372;0
UMTS;218;5;51;2683483;124;18.4314;43.8593;1000;15;1;1555339698;1719651372;0
UMTS;218;5;51;2676563;478;18.4317;43.8594;1000;3;1;1555341158;1719651364;0
UMTS;218;5;51;2680981;434;18.4305;43.8594;1000;22;1;1555343184;1719651372;0
UMTS;218;5;51;2660984;434;18.4295;43.8594;1000;12;1;1555343489;1719651372;0
UMTS;218;5;51;2667682;182;18.4252;43.8586;1000;9;1;1555344816;1719651365;0
UMTS;218;5;51;2660981;434;18.4301;43.8593;1000;4;1;1555345017;1719651372;0
UMTS;218;5;51;2667686;182;18.4261;43.8589;1000;5;1;1555345399;1719651365;0
UMTS;218;5;51;2663081;360;18.4231;43.8605;1000;5;1;1555419142;1719651368;0
UMTS;218;5;51;2680983;65;18.4258;43.8597;1000;5;1;1555425158;1719651368;0
UMTS;218;5;51;2637684;501;18.4303;43.8594;1141;24;1;1555425223;1719651370;0
GSM;218;5;2;5022;-1;17.9168;44.3191;7580;35;1;1555718408;1722200584;0
GSM;218;5;2;9743;-1;18.4737;43.8508;4045;15;1;1563148812;1722112803;0
UMTS;218;3;20;279254;495;17.6667;42.8945;4653;50;1;1566275023;1735476482;0
UMTS;218;3;20;279255;504;17.6229;42.9212;1067;39;1;1566277318;1735402145;0
UMTS;218;3;20;321156;70;17.6028;42.93;1617;28;1;1566279094;1735402145;0
UMTS;218;3;20;321160;70;17.59;42.935;1455;47;1;1566279104;1735402144;0
UMTS;218;3;20;321158;54;17.6175;42.9262;1000;22;1;1566279294;1735402145;0
UMTS;218;3;20;279256;511;17.5704;42.9356;1441;28;1;1566280985;1735402144;0
GSM;218;90;15;22283;-1;18.1043;42.67;1323;50;1;1569994742;1729955288;0
GSM;218;3;40;1413;-1;18.1063;42.6676;2023;50;1;1569997273;1735492263;0
GSM;218;90;15;22281;-1;18.1742;42.6499;15066;50;1;1570009707;1729949763;0
GSM;218;90;15;22282;-1;18.1808;42.6295;7534;45;1;1570071217;1729975323;0
GSM;218;90;14;22047;-1;17.9849;45.1764;8541;198;1;1570772846;1716157926;0
